Label (Grouping),HOUSING OCCUPANCY!!Total housing units,HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,HOUSING OCCUPANCY!!Total housing units!!Vacant housing units,HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate,HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate,UNITS IN STRUCTURE!!Total housing units,"UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached",UNITS IN STRUCTURE!!Total housing units!!2 units,UNITS IN STRUCTURE!!Total housing units!!3 or 4 units,UNITS IN STRUCTURE!!Total housing units!!5 to 9 units,UNITS IN STRUCTURE!!Total housing units!!10 to 19 units,UNITS IN STRUCTURE!!Total housing units!!20 or more units,UNITS IN STRUCTURE!!Total housing units!!Mobile home,"UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.",YEAR STRUCTURE BUILT!!Total housing units,YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later,YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013,YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009,YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999,YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989,YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979,YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969,YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959,YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949,YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier,ROOMS!!Total housing units,ROOMS!!Total housing units!!1 room,ROOMS!!Total housing units!!2 rooms,ROOMS!!Total housing units!!3 rooms,ROOMS!!Total housing units!!4 rooms,ROOMS!!Total housing units!!5 rooms,ROOMS!!Total housing units!!6 rooms,ROOMS!!Total housing units!!7 rooms,ROOMS!!Total housing units!!8 rooms,ROOMS!!Total housing units!!9 rooms or more,ROOMS!!Total housing units!!Median rooms,BEDROOMS!!Total housing units,BEDROOMS!!Total housing units!!No bedroom,BEDROOMS!!Total housing units!!1 bedroom,BEDROOMS!!Total housing units!!2 bedrooms,BEDROOMS!!Total housing units!!3 bedrooms,BEDROOMS!!Total housing units!!4 bedrooms,BEDROOMS!!Total housing units!!5 or more bedrooms,HOUSING TENURE!!Occupied housing units,HOUSING TENURE!!Occupied housing units!!Owner-occupied,HOUSING TENURE!!Occupied housing units!!Renter-occupied,HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit,HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999,YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier,VEHICLES AVAILABLE!!Occupied housing units,VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available,VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available,VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available,VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available,HOUSE HEATING FUEL!!Occupied housing units,HOUSE HEATING FUEL!!Occupied housing units!!Utility gas,"HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas",HOUSE HEATING FUEL!!Occupied housing units!!Electricity,"HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.",HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke,HOUSE HEATING FUEL!!Occupied housing units!!Wood,HOUSE HEATING FUEL!!Occupied housing units!!Solar energy,HOUSE HEATING FUEL!!Occupied housing units!!Other fuel,HOUSE HEATING FUEL!!Occupied housing units!!No fuel used,SELECTED CHARACTERISTICS!!Occupied housing units,SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,OCCUPANTS PER ROOM!!Occupied housing units,OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less,OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50,OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more,VALUE!!Owner-occupied units,"VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more",VALUE!!Owner-occupied units!!Median (dollars),MORTGAGE STATUS!!Owner-occupied units,MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999,"SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799,SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999,"SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more",SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more,SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed,GROSS RENT!!Occupied units paying rent,GROSS RENT!!Occupied units paying rent!!Less than $500,GROSS RENT!!Occupied units paying rent!!$500 to $999,"GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more",GROSS RENT!!Occupied units paying rent!!Median (dollars),GROSS RENT!!Occupied units paying rent!!No rent paid,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed),GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed
Alabama,"2,270,398","1,888,504","381,894",1.6,9.6,"2,270,398","1,559,486","37,315","45,054","66,766","95,518","74,170","92,762","296,231","3,096","2,270,398","78,866","89,011","347,613","411,992","333,062","363,252","256,716","187,074","87,254","115,558","2,270,398","33,009","26,658","128,205","314,989","504,929","464,202","315,104","213,269","270,033",5.8,"2,270,398","35,353","138,144","509,414","1,120,450","381,023","86,014","1,888,504","1,306,505","581,999",2.6,2.37,"1,888,504","81,828","507,289","352,501","434,702","244,679","267,505","1,888,504","111,849","597,954","694,746","483,955","1,888,504","507,973","108,559","1,241,875","2,368",324,"16,466",144,"1,463","9,332","1,888,504","7,095","12,813","34,587","1,888,504","1,857,057","21,291","10,156","1,306,505","163,271","257,661","234,136","216,854","230,444","144,420","49,149","10,570","149,600","1,306,505","727,377","579,128","727,377","15,755","230,103","262,106","123,481","52,439","21,151","22,342","1,196","579,128","118,431","217,799","167,385","49,185","14,484","11,844",367,"723,132","391,857","101,524","61,079","40,095","128,577","4,245","568,958","296,998","104,676","57,507","31,932","20,832","12,196","44,817","10,170","520,997","82,188","285,147","122,518","23,234","4,543","1,387","1,980",811,"61,002","502,810","78,037","66,413","61,429","59,337","42,640","194,954","79,189"
Alaska,"318,370","255,173","63,197",1.7,7.6,"318,370","200,622","23,696","17,295","23,257","14,546","8,692","15,561","14,161",540,"318,370","7,614","9,157","49,984","45,343","83,117","73,066","25,362","14,699","4,875","5,153","318,370","19,243","23,364","38,637","62,931","57,615","42,965","27,469","20,400","25,746",4.8,"318,370","19,898","42,648","83,611","111,346","50,265","10,602","255,173","165,376","89,797",2.89,2.58,"255,173","15,176","79,206","50,314","56,185","27,611","26,681","255,173","23,627","78,820","94,164","58,562","255,173","124,282","4,627","33,310","74,666",895,"13,381",60,"2,480","1,472","255,173","9,512","7,274","3,987","255,173","238,646","9,611","6,916","165,376","10,208","8,210","10,338","16,846","48,392","54,599","15,502","1,281","275,600","165,376","102,364","63,012","102,364",822,"5,678","19,585","28,687","22,487","12,412","12,693","1,937","63,012","7,134","9,573","15,583","14,381","8,476","7,865",591,"102,127","44,233","17,257","11,473","7,739","21,425",237,"62,600","31,116","11,853","6,534","3,408","2,349","1,412","5,928",412,"82,317","5,017","20,699","29,036","15,564","9,071","2,004",926,"1,240","7,480","81,827","11,871","12,156","12,057","9,581","7,668","28,494","7,970"
Arizona,"3,040,595","2,643,430","397,165",1.6,5.4,"3,040,595","1,947,438","149,295","39,131","103,572","120,123","127,453","228,117","313,906","11,560","3,040,595","127,945","91,535","712,621","606,657","534,488","504,204","219,375","157,421","43,503","42,846","3,040,595","81,680","115,928","293,501","511,322","641,198","566,117","360,619","233,964","236,266",5.3,"3,040,595","88,018","336,662","791,660","1,141,512","554,549","128,194","2,643,430","1,727,176","916,254",2.69,2.59,"2,643,430","166,204","892,546","588,312","568,246","256,353","171,769","2,643,430","153,994","929,503","999,473","560,460","2,643,430","869,876","75,069","1,599,479","2,412",387,"49,294","17,628","5,884","23,401","2,643,430","17,039","22,998","50,537","2,643,430","2,526,927","78,043","38,460","1,727,176","126,884","116,528","165,321","248,437","456,425","417,519","161,415","34,647","242,000","1,727,176","1,093,650","633,526","1,093,650","15,672","198,041","358,995","256,665","131,240","63,044","69,993","1,464","633,526","103,509","180,826","196,054","88,125","34,509","30,503",430,"1,086,364","514,543","166,716","109,735","70,989","224,381","7,286","620,887","322,860","111,470","60,500","33,270","21,612","14,705","56,470","12,639","870,844","49,524","310,408","331,301","129,585","31,401","9,223","9,402","1,097","45,410","852,889","112,143","113,558","119,621","102,306","76,093","329,168","63,365"
Arkansas,"1,379,778","1,170,544","209,234",1.7,7.4,"1,379,778","967,835","22,367","43,501","46,975","47,030","49,764","39,519","160,888","1,899","1,379,778","56,324","56,303","217,195","245,999","207,316","251,449","139,259","93,357","49,153","63,423","1,379,778","29,063","27,429","93,482","219,648","337,725","281,795","168,991","102,369","119,276",5.4,"1,379,778","30,184","101,405","354,832","673,782","186,247","33,328","1,170,544","770,477","400,067",2.56,2.39,"1,170,544","57,326","351,936","232,224","262,821","135,981","130,256","1,170,544","71,868","382,533","446,905","269,238","1,170,544","441,156","79,812","602,356","1,143",20,"38,935",360,"3,028","3,734","1,170,544","5,781","11,633","25,151","1,170,544","1,138,046","22,670","9,828","770,477","102,455","176,170","154,536","127,949","118,919","64,582","20,870","4,996","133,600","770,477","417,563","352,914","417,563","13,025","162,439","137,783","59,475","24,193","10,375","10,273","1,103","352,914","80,780","134,005","96,505","26,592","8,620","6,412",353,"415,519","235,208","56,062","35,188","22,663","66,398","2,044","348,099","183,189","65,573","35,424","20,701","10,664","7,282","25,266","4,815","363,719","58,573","225,935","64,070","10,178","3,054",934,975,760,"36,348","353,566","61,263","50,694","47,043","40,927","31,669","121,970","46,501"
California,"14,210,945","13,103,114","1,107,831",1.1,3.7,"14,210,945","8,206,621","1,009,488","339,846","773,994","840,296","721,132","1,788,697","515,666","15,205","14,210,945","339,245","254,491","1,551,054","1,561,612","2,139,882","2,486,977","1,881,533","1,889,798","822,421","1,283,932","14,210,945","561,627","606,652","1,682,702","2,720,109","2,753,128","2,409,784","1,490,105","1,006,693","980,145",5.1,"14,210,945","632,774","1,895,357","3,881,570","4,730,505","2,453,546","617,193","13,103,114","7,241,318","5,861,796",3.01,2.85,"13,103,114","581,422","3,612,706","2,966,677","2,898,396","1,554,940","1,488,973","13,103,114","920,362","3,935,693","4,843,386","3,403,673","13,103,114","8,330,616","442,502","3,553,048","31,053","1,709","190,229","94,529","42,538","416,890","13,103,114","54,342","151,660","184,117","13,103,114","12,027,376","680,753","394,985","7,241,318","193,188","148,046","163,446","242,443","719,721","1,884,335","2,681,277","1,208,862","538,500","7,241,318","5,035,650","2,205,668","5,035,650","22,673","232,394","630,184","894,503","874,697","722,216","1,658,983","2,422","2,205,668","171,763","341,473","548,799","430,155","279,663","433,815",618,"5,009,139","1,725,492","774,695","602,748","439,413","1,466,791","26,511","2,174,082","1,021,914","377,070","215,626","135,217","93,167","64,680","266,408","31,586","5,678,016","263,306","826,838","1,517,030","1,349,250","820,826","434,206","466,560","1,586","183,780","5,572,918","592,617","637,465","681,447","642,154","527,570","2,491,665","288,878"
Colorado,"2,361,372","2,137,402","223,970",1,4.9,"2,361,372","1,483,301","169,689","38,048","76,871","105,955","131,707","261,827","92,263","1,711","2,361,372","121,565","73,836","402,776","396,453","335,700","420,410","197,068","175,322","59,957","178,285","2,361,372","52,391","93,712","234,715","354,895","360,366","344,407","269,022","233,008","418,856",5.7,"2,361,372","57,053","267,760","578,964","782,866","475,843","198,886","2,137,402","1,415,324","722,078",2.69,2.44,"2,137,402","128,536","709,119","450,437","452,841","225,412","171,057","2,137,402","106,078","627,610","847,702","556,012","2,137,402","1,466,331","103,547","496,409","2,478",856,"36,002","6,839","14,304","10,636","2,137,402","6,338","15,579","32,082","2,137,402","2,083,142","37,071","17,189","1,415,324","47,109","39,345","52,701","91,505","261,091","545,129","322,295","56,149","369,900","1,415,324","1,001,804","413,520","1,001,804","8,147","89,684","234,478","266,190","181,846","107,163","114,296","1,808","413,520","38,414","99,485","142,351","72,841","32,269","28,160",488,"997,455","452,004","160,164","109,045","70,266","205,976","4,349","408,728","219,925","71,233","36,836","21,219","14,218","9,195","36,102","4,792","697,587","41,206","145,083","242,281","173,263","62,977","20,498","12,279","1,335","24,491","687,354","72,422","84,093","92,762","86,211","68,465","283,401","34,724"
Connecticut,"1,521,199","1,385,437","135,762",1.5,5.6,"1,521,199","897,094","85,585","125,289","128,352","80,405","54,136","137,923","11,943",472,"1,521,199","23,860","22,107","102,986","118,768","188,346","204,902","206,458","223,513","102,488","327,771","1,521,199","31,231","44,783","137,967","231,688","275,094","271,035","194,627","144,912","189,862",5.6,"1,521,199","34,396","193,049","408,203","554,425","261,319","69,807","1,385,437","915,408","470,029",2.63,2.24,"1,385,437","54,625","348,502","257,182","320,453","182,155","222,520","1,385,437","118,355","454,214","515,137","297,731","1,385,437","495,646","64,356","232,659","551,817","1,032","22,576","1,230","10,849","5,272","1,385,437","4,887","8,761","16,388","1,385,437","1,359,910","17,542","7,985","915,408","17,908","26,616","76,280","135,429","249,697","255,697","110,850","42,931","279,700","915,408","616,667","298,741","616,667","1,225","20,219","97,767","156,943","126,736","79,801","133,976","2,127","298,741","2,889","6,687","31,056","71,754","67,257","119,098",900,"614,614","257,454","102,291","67,198","44,353","143,318","2,053","295,939","93,098","61,984","38,665","24,801","16,820","12,396","48,175","2,802","451,178","43,229","103,220","173,291","80,751","28,467","10,801","11,419","1,201","18,851","442,042","53,790","53,929","54,512","52,658","40,487","186,666","27,987"
Delaware,"438,438","370,953","67,485",1.6,6.2,"438,438","256,679","69,530","6,960","9,644","17,369","21,723","22,205","34,126",202,"438,438","23,761","17,846","81,865","66,102","55,293","50,127","44,048","43,606","19,918","35,872","438,438","5,343","4,978","23,639","52,365","67,873","86,261","71,427","54,184","72,368",6.3,"438,438","5,829","28,966","86,087","199,607","96,451","21,498","370,953","264,915","106,038",2.58,2.44,"370,953","14,465","100,009","74,744","91,942","45,820","43,973","370,953","21,786","126,718","145,194","77,255","370,953","156,847","35,918","130,157","40,121",463,"3,038",635,"2,282","1,492","370,953",731,"1,806","5,053","370,953","364,927","4,619","1,407","264,915","12,949","9,870","19,527","40,947","81,397","76,181","19,975","4,069","258,300","264,915","171,529","93,386","171,529","1,844","20,699","53,291","48,262","25,714","11,476","10,243","1,591","93,386","8,159","24,841","32,088","16,137","6,394","5,767",475,"170,468","80,195","26,679","17,129","11,174","35,291","1,061","92,390","48,061","15,306","9,031","5,231","2,968","2,418","9,375",996,"101,505","7,780","26,674","46,666","15,552","3,180",834,819,"1,150","4,533","98,989","12,787","13,512","11,636","12,352","9,259","39,443","7,049"
District of Columbia,"319,192","288,307","30,885",1.4,6.7,"319,192","38,267","76,206","9,993","22,197","22,690","28,751","120,592",396,100,"319,192","17,239","11,746","26,158","10,417","14,401","22,086","35,198","38,706","35,934","107,307","319,192","25,162","33,618","68,722","55,350","36,469","30,576","22,756","17,357","29,182",4.1,"319,192","31,574","99,029","82,831","65,747","28,328","11,683","288,307","122,648","165,659",2.45,2.19,"288,307","19,682","101,021","62,376","52,617","22,697","29,914","288,307","102,173","130,664","44,365","11,105","288,307","150,285","2,570","124,466","3,086",21,16,384,"2,228","5,251","288,307",777,"1,474","5,470","288,307","277,847","4,934","5,526","122,648","1,380",943,"1,237","1,725","10,459","31,418","50,629","24,857","618,100","122,648","92,705","29,943","92,705",515,"3,570","8,906","14,389","14,273","13,368","37,684","2,676","29,943","1,955","3,810","5,743","5,151","3,520","9,764",735,"92,169","43,542","15,208","9,543","5,756","18,120",536,"29,271","15,838","5,296","2,187","1,591","1,005",619,"2,735",672,"161,568","16,274","19,671","37,527","34,146","23,548","13,832","16,570","1,607","4,091","156,392","23,581","21,190","21,464","18,960","14,870","56,327","9,267"
Florida,"9,562,324","7,931,313","1,631,011",2.1,8.2,"9,562,324","5,231,740","599,418","194,949","374,317","465,065","532,816","1,317,928","831,641","14,450","9,562,324","422,291","257,114","1,788,851","1,618,900","1,913,454","1,660,611","843,507","668,193","187,898","201,505","9,562,324","189,646","244,293","959,977","1,988,214","2,129,071","1,730,857","1,034,439","652,777","633,050",5.2,"9,562,324","203,122","959,434","3,094,996","3,688,100","1,348,129","268,543","7,931,313","5,250,878","2,680,435",2.61,2.63,"7,931,313","428,254","2,547,578","1,693,392","1,766,471","878,243","617,375","7,931,313","485,183","3,102,212","3,039,276","1,304,642","7,931,313","374,186","69,739","7,289,166","10,971",741,"10,934","10,753","4,977","159,846","7,931,313","22,095","55,761","145,878","7,931,313","7,695,582","162,482","73,249","5,250,878","343,667","500,332","575,187","761,311","1,304,637","1,166,748","457,385","141,611","232,000","5,250,878","2,979,345","2,271,533","2,979,345","36,286","505,653","888,073","683,313","380,557","209,128","276,335","1,539","2,271,533","292,828","479,367","616,080","394,557","201,901","286,800",513,"2,958,193","1,208,464","448,624","317,732","220,411","762,962","21,152","2,230,564","959,800","419,740","243,641","156,382","103,536","68,202","279,263","40,969","2,568,612","127,458","670,290","1,007,382","503,829","159,888","55,337","44,428","1,218","111,823","2,504,099","221,625","268,577","310,230","292,708","239,568","1,171,391","176,336"
